"GLC-T=","https://www.cdw.com/shop/products/CISCO-1000BASE-T-SFP-BSTK/4812290.aspx?pfm=srh","CISCO 1000BASE-T SFP (BSTK)","Cisco","4812290","1000BASE-T SFP (spare) GBIC for a variety Cisco switchesroutersand optical transport devices","$291.99","$185.99","https://webobjects2.cdw.com/is/image/CDW/525142?$product-main$","GLC-T=.jpg","2.8 in","0.6 in","null","0.6 in"
"ABDN-ER-DP553","https://www.cdw.com/shop/products/B-B-SMARTWORX-OEM-DB-WIFI-BRIDGE-RTR/4845920.aspx?pfm=srh","B+B SMARTWORX OEM DB WIFI BRIDGE/RTR","IMC Networks","4845920","null","$161.99","$139.99","https://webobjects2.cdw.com/is/image/CDW/4550279?$product-main$","ABDN-ER-DP553.jpg","null","null","null","null"
"MK9520-37A38","https://www.cdw.com/shop/products/HNY-METROLOG-MS9500-VOYAGER-KIT-USB/4835568.aspx?pfm=srh","HNY METROLOG MS9500 VOYAGER KIT USB","Honeywell","4835568","Barcode scannerhandheld72 line / secdecodedUSB","$197.00","$109.99","https://webobjects2.cdw.com/is/image/CDW/1158047?$product-main$","MK9520-37A38.jpg","2.2 in","7.8 in","0.2 lbs, 5.26 oz","5 mil"
"UM.CV6AA.005","https://www.cdw.com/shop/products/ACER-19in-V196L-B-LED-VGA-NO-SPEAKER/4847539.aspx?pfm=srh","ACER 19"" V196L B LED VGA NO SPEAKER","Acer","4847539","LED monitor19""1280 x 1024250 cd/m2100000000:1 (dynamic)5 msVGA","$104.99","$92.99","https://webobjects2.cdw.com/is/image/CDW/3179468?$product-main$","UM.CV6AA.005.jpg","2 in","13.3 in","6 lbs","16 in"
"PA03656-B305","https://www.cdw.com/shop/products/FUJITSU-SCANSNAP-IX500-600DPI-SCAN/4841873.aspx?pfm=srh","FUJITSU SCANSNAP IX500 600DPI SCAN (","Fujitsu","4841873","Document scannerDuplex8.5 in x 34.0 in600 dpi x 600 dpiup to 25 ppm (mono) / up to 25 ppm (color)ADF (50 sheets)USB 3.0","$495.99","$402.99","https://webobjects2.cdw.com/is/image/CDW/4161494?$product-main$","PA03656-B305.jpg","6.3 in","6.6 in","6.61 lbs","11.5 in"
"CP-8861-K9=","https://www.cdw.com/shop/products/CISCO-UC-PHONE-8861-BSTK/4812363.aspx?pfm=srh","CISCO UC PHONE 8861 (BSTK)","Cisco","4812363","VoIP phoneIEEE 802.11a/b/g/n/ac (Wi-Fi)SIPRTPSDP5 linescharcoal","$622.99","$335.99","https://webobjects2.cdw.com/is/image/CDW/3403695?$product-main$","CP-8861-K9=.jpg","1.6 in","9 in","2.6 lbs","10.1 in"
"458844","https://www.cdw.com/shop/products/IRISCAN-PRO-5-WIFI-PORTABLE-SCANNER/4845942.aspx?pfm=srh","IRISCAN PRO 5 WIFI PORTABLE SCANNER","IRIS Inc.","4845942","Document scannerA41200 dpiUSB","$149.99","$122.99","https://webobjects2.cdw.com/is/image/CDW/4731226?$product-main$","458844.jpg","1.7 in","1.4 in","11.64 oz","10.8 in"
"3000014443316","https://www.cdw.com/shop/products/Dell-P2217H-LED-monitor-Full-HD-1080p-22in/4797545.aspx?pfm=srh","Dell P2217H - LED monitor - Full HD (1080p) - 22""","Dell","4797545","null","$307.99","$109.99","https://webobjects2.cdw.com/is/image/CDW/4647490?$product-main$","3000014443316.jpg","7.1 in","13.9 in","11.82 lbs","19.6 in"
"J9987A","https://www.cdw.com/shop/products/ARUBA-24P-1000BASE-T-V3-ZL2-MOD-BST/4785008.aspx?pfm=srh","ARUBA 24P 1000BASE-T V3 ZL2 MOD (BST","Aruba","4785008","Expansion moduleGigabit Ethernet x 24for Aruba 5406R zl25406R-44G-PoE+/2SFP+ v25406R-44G-PoE+/4SFP v25406R-8XGT/8SFP+ v2","$2,266.99","$931.99","https://webobjects2.cdw.com/is/image/CDW/4361376?$product-main$","J9987A.jpg","8.1 in","1.8 in","27.86 oz","10.3 in"
"1NM41UT#ABA","https://www.cdw.com/shop/products/HP-SB-X360-G2-I7-7600U-512GB-16GB-B/4793878.aspx?pfm=srh","HP SB X360 G2 I7-7600U 512GB 16GB (B","HP Inc","4793878","Flip designCore i7 7600U / 2.9 GHzWin 10 Pro 64-bit16 GB RAM512 GB SSD NVMeTLC13.3"" IPS touchscreen 1920 x 1080 (Full HD)","$2,169.99","$1,321.99","https://webobjects2.cdw.com/is/image/CDW/4580397?$product-main$","1NM41UT#ABA.jpg","8.6 in","0.6 in","2.82 lbs","12.5 in"
