"WGM40071","https://www.cdw.com/shop/products/WATCHGUARD-FIREBOX-M400-W1Y-LIVESEC/4794021.aspx?pfm=srh","WATCHGUARD FIREBOX M400 W1Y LIVESEC","WatchGuard","4794021","High Availabilitysecurity appliancewith 1 year Support Service8 portsGigE1U","$1,446.99","$741.99","https://webobjects2.cdw.com/is/image/CDW/3555165?$product-main$","WGM40071.jpg","12 in","1.7 in","16.98 lbs","17 in"
"IDRE-334133B","https://www.cdw.com/shop/products/ID-TECH-KEYBOARD-W-MINIMAG-MSR-USB/4744386.aspx?pfm=srh","ID TECH KEYBOARD W/MINIMAG MSR USB (","ID Technologies","4744386","PC compatibleKeyboard wedge / USB interfaceBlack","$77.99","$22.99","https://webobjects2.cdw.com/is/image/CDW/2143135?$product-main$","IDRE-334133B.jpg","3.9 in","1.2 in","6.98 oz","1.4 in"
"WDBYFT0040BBK-WESN","https://www.cdw.com/shop/products/WD-4TB-MY-PASSPORT-PORTABLE-BLACK-B/4823941.aspx?pfm=srh","WD 4TB MY PASSPORT PORTABLE BLACK (B","Western Digital","4823941","Hard driveencrypted4 TBexternal (portable)USB 3.0256-bit AESblack","$119.99","$85.99","https://webobjects2.cdw.com/is/image/CDW/4346892?$product-main$","WDBYFT0040BBK-WESN.jpg","3.2 in","0.8 in","8.82 oz","4.3 in"
"9MKV0","https://www.cdw.com/shop/products/WYSE-5010-TC-THINOS-8.1-8GF-2GR-B/4838588.aspx?pfm=srh","WYSE 5010 TC THINOS 8.1 8GF/2GR (B","Wyse","4838588","Thin clientDTS1 x G-T48E 1.4 GHzRAM 2 GBflash 8 GBRadeon HD 6250GigE","$356.99","$309.99","https://webobjects2.cdw.com/is/image/CDW/3975434?$product-main$","9MKV0.jpg","7.3 in","6.7 in","32.8 oz","1.6 in"
"SW6-00001","https://www.cdw.com/shop/products/MS-SURFACE-BOOK-I7-512GB-16GB-GPU-B/4831784.aspx?pfm=srh","MS SURFACE BOOK I7 512GB 16GB GPU (B","Microsoft","4831784","Intel Core i7Windows 10 Pro 64-bit16 GB RAM512 GB SSD13.5"" touchscreen 3000 x 20008 MP autofocus rear & 5MP front camerasDetachable keyboard","$2,199.00","$1,922.99","https://webobjects2.cdw.com/is/image/CDW/3862779?$product-main$","SW6-00001.jpg","9.1 in","0.9 in","3.47 lbs","12.3 in"
"203947-01","https://www.cdw.com/shop/products/PLANTRONICS-W440-M-SAVI-HEADSET-BST/4802099.aspx?pfm=srh","PLANTRONICS W440-M SAVI HEADSET (BST","Plantronics","4802099","400 SeriesheadsetconvertiblewirelessDECT 6.0","$224.99","$101.99","https://webobjects2.cdw.com/is/image/CDW/3813341?$product-main$","203947-01.jpg","null","null","0.74 oz","null"
"V12H675020","https://www.cdw.com/shop/products/EPSON-ULTRA-SHORT-THROW-WALL-MOUNT/4802683.aspx?pfm=srh","EPSON ULTRA-SHORT THROW WALL MOUNT (","Epson","4802683","Mounting kit (ultra short throw mount) for projectorwall-mountablefor Epson EB-575EB-585EB-595; BrightLink 575585; PowerLite 570","Call","$119.99","https://webobjects2.cdw.com/is/image/CDW/3288864?$product-main$","V12H675020.jpg","null","null","null","null"
"1WW72US#ABA","https://www.cdw.com/shop/products/HP-X360-1030-G2-I5-7300U-512GB-8GB/4843098.aspx?pfm=srh","HP X360 1030 G2 I5-7300U 512GB 8GB (","HP Inc","4843098","null","$3,216.99","$2,754.99","https://webobjects2.cdw.com/is/image/CDW/4538866?$product-main$","1WW72US#ABA.jpg","null","null","null","null"
"GS108T-200NAS","https://www.cdw.com/shop/products/NETGEAR-PROSAFE-8PT-GBIT-SMART-SWCH/4845850.aspx?pfm=srh","NETGEAR PROSAFE 8PT GBIT SMART-SWCH","NETGEAR","4845850","PROMO PRICESwitchsmart1 x 10/100/1000 (PoE) + 7 x 10/100/1000desktop","$69.99","$63.99","https://webobjects2.cdw.com/is/image/CDW/2093713?$product-main$","GS108T-200NAS.jpg","4.1 in","1.1 in","1.23 lbs","6.2 in"
"J9779A#ABA","https://www.cdw.com/shop/products/ARUBA-2530-24-POE-BSTK/4806046.aspx?pfm=srh","ARUBA 2530 24 POE+ (BSTK)","Aruba","4806046","Switchmanaged24 x 10/100 (PoE+) + 2 x Gigabit SFP + 2 x 10/100/1000desktoprack-mountablewall-mountable","$875.99","$426.99","https://webobjects2.cdw.com/is/image/CDW/4361352?$product-main$","J9779A#ABA.jpg","12.7 in","1.8 in","8.4 lbs","17.4 in"
"LI4278-PRBU2100AWR","https://www.cdw.com/shop/products/ZEBRA-LI4278-1D-SR-USB-PRES-CRDL-KIT/4755435.aspx?pfm=srh","ZEBRA LI4278 1D SR USB PRES CRDL KIT","Zebra","4755435","Barcode ScannerPortable547 Scan/SecDecodedBluetooth 2.1Bar Width: 3 mil","$444.96","$162.99","https://webobjects2.cdw.com/is/image/CDW/2729127?$product-main$","LI4278-PRBU2100AWR.jpg","7.3 in","3.9 in","7.9 oz","3 mil"
"T-LBK462-BSB-R","https://www.cdw.com/shop/products/TOPAZ-SIG-GEM-1.5-SIG-CAPTURE-PAD-B/4856337.aspx?pfm=srh","TOPAZ SIG GEM 1.5 SIG CAPTURE PAD (B","Topaz Systems","4856337","Signature terminal w/ LCD display4.4 x 1.3 inelectromagneticwiredserial","$398.99","$345.99","https://webobjects2.cdw.com/is/image/CDW/1666382?$product-main$","T-LBK462-BSB-R.jpg","3.7 in","1.4 in","null","6 in"
"MP124/24S/AC/SIP","https://www.cdw.com/shop/products/AUDIOCODES-MP-124-ANA-VOIP-GW-24-FXS/4803124.aspx?pfm=srh","AUDIOCODES MP 124 ANA VOIP GW 24 FXS","AudioCodes","4803124","VoIP gateway24 ports100Mb LAN","$1,402.99","$657.99","https://webobjects2.cdw.com/is/image/CDW/2117324?$product-main$","MP124/24S/AC/SIP.jpg","17.5 in","1.7 in","null","10.6 in"
"1400G1D-2USB-1","https://www.cdw.com/shop/products/HONEYWELL-VOYAGER-1400G-USB-KIT-STND/4793998.aspx?pfm=srh","HONEYWELL VOYAGER 1400G USB KIT+STND","Honeywell","4793998","Barcode scannerhandhelddecodedUSB","$165.00","$59.99","https://webobjects2.cdw.com/is/image/CDW/2750641?$product-main$","1400G1D-2USB-1.jpg","1.7 in","2.6 in","4.2 oz","6.6 in"
"PC23DA0100021","https://www.cdw.com/shop/products/HNY-INTRMC-PC23D-DIRECT-THRML-PRINT/4850882.aspx?pfm=srh","HNY INTRMC PC23D DIRECT THRML PRINT","Honeywell","4850882","Label printerthermal paperRoll (2.35 in)203 dpiup to 480 inch/minUSB 2.0LAN","$500.00","$279.99","https://webobjects2.cdw.com/is/image/CDW/3624856?$product-main$","PC23DA0100021.jpg","8.5 in","7 in","3.2 lbs","2.2 in"
"VA2246M-LED","https://www.cdw.com/shop/products/VIEWSONIC-VA2246M-LED-22in-MONITOR-B/4800437.aspx?pfm=srh","VIEWSONIC VA2246M-LED 22"" MONITOR (B","ViewSonic","4800437","LED monitor22"" (21.5"" viewable)1920 x 1080 Full HD (1080p)250 cd/m²1000:15 msDVI-D","$111.99","$63.99","https://webobjects2.cdw.com/is/image/CDW/3044401?$product-main$","VA2246M-LED.jpg","1.9 in","12.5 in","6.8 lbs","20.1 in"
"MBR1200B","https://www.cdw.com/shop/products/CRADLEPNT-1200B-RTR-NOMODEM-SOHO/4845999.aspx?pfm=srh","CRADLEPNT 1200B RTR NOMODEM (SOHO) (","Cradlepoint","4845999","Wireless router4-port switch802.11b/g/n2.4 GHz","$249.99","$177.99","https://webobjects2.cdw.com/is/image/CDW/2686020?$product-main$","MBR1200B.jpg","5.1 in","1.6 in","null","9.1 in"
