"NX.GNZAA.002","https://www.cdw.com/shop/products/ACER-C771-3855U-32GB-4GB-CHROME-BST/4828901.aspx?pfm=srh","ACER C771 3855U 32GB 4GB CHROME (BST","Acer","4828901","Celeron 3855U / 1.6 GHzChrome OS4 GB RAM32 GB eMMC11.6"" IPS 1366 x 768 (HD)HD Graphics 510Wi-Fi","$279.99","$207.99","https://webobjects2.cdw.com/is/image/CDW/4670399?$product-main$","NX.GNZAA.002.jpg","8.2 in","0.8 in","2.98 lbs","11.7 in"
"02JUN7JNF","https://www.cdw.com/shop/products/BTO-HP-800-G3-I7-7700-1TB-16GB-W10H/4816172.aspx?pfm=srh","BTO HP 800 G3 I7-7700 1TB 16GB W10H","HP Inc","4816172","null","$1,783.99","$917.99","https://webobjects2.cdw.com/is/image/CDW/4671205?$product-main$","02JUN7JNF.jpg","null","null","null","null"
"80YS0003US","https://www.cdw.com/shop/products/LVO-TP-N23-N3060-16GB-4GB-CHROME-BS/4831253.aspx?pfm=srh","LVO TP N23 N3060 16GB 4GB CHROME (BS","Lenovo","4831253","Celeron N3060 / 1.6 GHzChrome OS4 GB RAM16 GB eMMC11.6"" TN 1366 x 768 (HD)HD Graphics 400Wi-Fi","$224.99","$167.99","https://webobjects2.cdw.com/is/image/CDW/4439334?$product-main$","80YS0003US.jpg","8.2 in","0.9 in","2.76 lbs","11.5 in"
"1JS70US#ABA","https://www.cdw.com/shop/products/HP-ProBook-640-G2/4782502.aspx?pfm=srh","HP ProBook 640 G2","HP Inc","4782502","null","Call","$535.99","https://webobjects2.cdw.com/is/image/CDW/4421844?$product-main$","1JS70US#ABA.jpg","null","null","null","null"
"1BS52UT#ABA","https://www.cdw.com/shop/products/HP-SB-850-G4-I7-7500U-256GB-8GB-W10P/4856002.aspx?pfm=srh","HP SB 850 G4 I7-7500U 256GB 8GB W10P","HP Inc","4856002","Core i7 7500U / 2.7 GHzWin 10 Pro 64-bit8 GB RAM256 GB SSD HP Z Turbo DriveNVMeTLC15.6"" TN touchscreen 1920 x 1080 (Full HD)","$1,424.99","$1,197.99","https://webobjects2.cdw.com/is/image/CDW/4427315?$product-main$","1BS52UT#ABA.jpg","10.1 in","0.8 in","4.54 lbs","15.1 in"
"MLVP2LL/A","https://www.cdw.com/shop/products/APPLE-MBP-13in-2.9GHZ-256GB-8GB-DUP/4801111.aspx?pfm=srh","APPLE MBP 13"" 2.9GHZ 256GB 8GB-DUP (","Apple","4801111","Core i5 2.9 GHzOS X 10.12 Sierra8 GB RAM256 GB SSD13.3"" IPS 2560 x 1600 (WQXGA)Iris Graphics 550Wi-Fi","$1,808.99","$1,299.99","https://webobjects2.cdw.com/is/image/CDW/4674880?$product-main$","MLVP2LL/A.jpg","8.4 in","0.6 in","3.02 lbs","12 in"
"20HF0012US","https://www.cdw.com/shop/products/LVO-TP-T470S-I5-7300U-256GB-8GB-W10P/4830013.aspx?pfm=srh","LVO TP T470S I5-7300U 256GB 8GB W10P","Lenovo","4830013","Core i5 7300U / 2.6 GHzWin 10 Pro 64-bit8 GB RAM256 GB SSD TCG Opal Encryption 2NVMe14"" IPS touchscreen 1920 x 1080 (Full HD)HD Graphics 620","$1,633.99","$1,134.99","https://webobjects2.cdw.com/is/image/CDW/4489969?$product-main$","20HF0012US.jpg","8.9 in","0.7 in","2.91 lbs","13 in"
"80YS000CUS","https://www.cdw.com/shop/products/LVO-N23-11-N3060-16-4GB-TOUCH-CHROME/4783039.aspx?pfm=srh","LVO N23 11 N3060 16/4GB TOUCH CHROME","Lenovo","4783039","Celeron N3060 / 1.6 GHzChrome OS4 GB RAM16 GB eMMC11.6"" IPS touchscreen 1366 x 768 (HD)HD Graphics 400Wi-Fi","$276.99","$146.99","https://webobjects2.cdw.com/is/image/CDW/4439337?$product-main$","80YS000CUS.jpg","8.2 in","0.9 in","2.76 lbs","11.5 in"
"XE500C13-K04US","https://www.cdw.com/shop/products/SAM-CHROMEBOOK-3-N3060-16GB-4GB-BST/4789700.aspx?pfm=srh","SAM CHROMEBOOK 3 N3060 16GB 4GB (BST","Samsung","4789700","Celeron N3060 / 1.6 GHz4 GB RAM16 GB eMMC11.6"" 1366 x 768 (HD)HD Graphics 400Wi-Fimetallic black","$196.99","$107.99","https://webobjects2.cdw.com/is/image/CDW/4469259?$product-main$","XE500C13-K04US.jpg","8 in","0.7 in","2.54 lbs","11.4 in"
"3000015318511","https://www.cdw.com/shop/products/DELL-CTO-AWAU-I7-77-2TB-16GB-W10P-B/4828436.aspx?pfm=srh","DELL CTO AWAU I7-77 2TB 16GB W10P (B","Dell","4828436","null","Call","$1,282.99","https://webobjects2.cdw.com/is/image/CDW/4704876?$product-main$","3000015318511.jpg","null","null","null","null"
