"1BR05UP#ABA","https://www.cdw.com/shop/products/HP-840-G3-I5-6300U-180GB-8GB-DUP-BS/4781590.aspx?pfm=srh","HP 840 G3 I5-6300U 180GB 8GB-DUP (BS","HP Inc","4781590","null","$2,002.99","$673.99","https://webobjects2.cdw.com/is/image/CDW/3912999?$product-main$","1BR05UP#ABA.jpg","null","null","null","null"
"20EQS10V00-MC00038603","https://www.cdw.com/shop/products/P50-Laptop-ThinkPad/4810783.aspx?pfm=srh","P50 Laptop (ThinkPad)","Lenovo","4810783","null","$3,474.99","$1,277.99","https://webobjects2.cdw.com/is/image/CDW/4033628?$product-main$","20EQS10V00-MC00038603.jpg","null","null","null","null"
"10NX0006US","https://www.cdw.com/shop/products/LVO-TC-M810Z-I5-7400-500GB-8GB-W10P/4813734.aspx?pfm=srh","LVO TC M810Z I5-7400 500GB 8GB W10P","Lenovo","4813734","All-in-onewith UltraFlex II Stand1 x Core i5 7400 / 3 GHzRAM 8 GBHDD 500 GBDVD-WriterHD Graphics 630","$1,039.99","$744.99","https://webobjects2.cdw.com/is/image/CDW/4628807?$product-main$","10NX0006US.jpg","10 in","19.3 in","20.28 lbs","21.1 in"
"NX.GL4AA.010","https://www.cdw.com/shop/products/ACER-CB5-13-MT8173-32GB-4GB-CHROME/4773894.aspx?pfm=srh","ACER CB5 13 MT8173 32GB 4GB CHROME (","Acer","4773894","Flip designMT8173 2.1 GHzChrome OS4 GB RAM32 GB eMMC13.3"" IPS touchscreen 1920 x 1080 (Full HD)PowerVR GX6250","$398.99","$214.99","https://webobjects2.cdw.com/is/image/CDW/4330577?$product-main$","NX.GL4AA.010.jpg","9 in","0.6 in","3.31 lbs","12.8 in"
"CHROMEBOX-M004U","https://www.cdw.com/shop/products/ASUS-CHROMEBOX-M004U-16GB-2GB-BSTK/4836998.aspx?pfm=srh","ASUS CHROMEBOX-M004U 16GB 2GB (BSTK)","Asus","4836998","USFFIntel Celeron 2955U 1.4 GHz Dual-core Processor1600 MHz 2 GB DDR3 SDRAM16 GB SSDIntel HD GraphicsChrome OSGigE","$163.99","$142.99","https://webobjects2.cdw.com/is/image/CDW/3290597?$product-main$","CHROMEBOX-M004U.jpg","4.9 in","1.6 in","21.16 oz","4.9 in"
"80S6001UUS","https://www.cdw.com/shop/products/LVO-STF-N22-N3060-32GB-4GB-W10P-BST/4812813.aspx?pfm=srh","LVO STF N22 N3060 32GB 4GB W10P (BST","Lenovo","4812813","Celeron N3060 / 1.6 GHzWin 10 Pro 64-bit4 GB RAM32 GB eMMC11.6"" 1366 x 768 (HD)HD GraphicsWi-Fi","$178.99","$131.99","https://webobjects2.cdw.com/is/image/CDW/4331208?$product-main$","80S6001UUS.jpg","8.3 in","0.9 in","2.69 lbs","11.8 in"
"20HN001HUS","https://www.cdw.com/shop/products/LVO-TP-X270-I7-7500U-256GB-16GB-W10P/4837446.aspx?pfm=srh","LVO TP X270 I7-7500U 256GB 16GB W10P","Lenovo","4837446","Core i7 7500U / 2.7 GHzWin 10 Pro 64-bit16 GB RAM256 GB SSD TCG Opal Encryption 2NVMe12.5"" IPS 1920 x 1080 (Full HD)HD Graphics 620","$1,729.99","$1,448.99","https://webobjects2.cdw.com/is/image/CDW/4545562?$product-main$","20HN001HUS.jpg","8.2 in","0.8 in","3 lbs","12 in"
"ZA260016US","https://www.cdw.com/shop/products/LVO-N23-YOGA-32GB-4GB-TOUCH-CHROME/4851414.aspx?pfm=srh","LVO N23 YOGA 32GB 4GB TOUCH CHROME (","Lenovo","4851414","Flip designMT8173cChrome OS4 GB RAM32 GB eMMC11.6"" IPS touchscreen 1366 x 768 (HD)Wi-Fi","$283.99","$248.99","https://webobjects2.cdw.com/is/image/CDW/4474535?$product-main$","ZA260016US.jpg","null","0.8 in","2.98 lbs","null"
"17MAY6JNN","https://www.cdw.com/shop/products/BTO-HP-800-G2-I5-6500-256GB-8GB-W7P/4787307.aspx?pfm=srh","BTO HP 800 G2 I5-6500 256GB 8GB W7P","HP Inc","4787307","HP EliteOne 800 G2 23 Non-Touch AiO UMA-L3N90AVHP SD Media Card Reader IncludedIntel® I219LM Gigabit Network Connection2 MP Webcam with Dual Microphone ArrayHigh performance integrated stereo speakersWindows 7 Professional 64Intel Core i5-6500 3.2G 6M 2133 4C CPU","$1,069.99","$562.99","https://webobjects2.cdw.com/is/image/CDW/4484106?$product-main$","17MAY6JNN.jpg","null","null","null","null"
"20HMS0E400-MC00012617","https://www.cdw.com/shop/products/NoteBook-TP-X270-8G-256-W10P/4833088.aspx?pfm=srh","NoteBook TP X270 8G 256 W10P","Lenovo","4833088","null","$2,289.99","$983.99","https://webobjects2.cdw.com/is/image/CDW/4630557?$product-main$","20HMS0E400-MC00012617.jpg","null","null","null","null"
