"CF-54D2401KM","https://www.cdw.com/shop/products/PAN-TB-CF-54-I5-6300U-256GB-8GB-BST/4852404.aspx?pfm=srh","PAN TB CF-54 I5-6300U 256GB 8GB (BST","Panasonic","4852404","Core i5 6300U / 2.4 GHzWin 7 Pro (includes Win 10 Pro License)8 GB RAM256 GB SSD14"" IPS 1920 x 1080 (Full HD)HD Graphics 520Wi-Fi","$2,207.99","$1,855.99","https://webobjects2.cdw.com/is/image/CDW/4198644?$product-main$","CF-54D2401KM.jpg","10.7 in","1.2 in","4.41 lbs","13.6 in"
"10M70030US","https://www.cdw.com/shop/products/LVO-TC-M710S-I5-6500-1TB-8GB-W710P/4817294.aspx?pfm=srh","LVO TC M710S I5-6500 1TB 8GB W710P (","Lenovo","4817294","SFF1 x Core i5 6500 / 3.2 GHzRAM 8 GBHDD 1 TBDVD-WriterHD Graphics 530GigE","$719.99","$517.99","https://webobjects2.cdw.com/is/image/CDW/4608803?$product-main$","10M70030US.jpg","11.4 in","13.5 in","13.23 lbs","3.6 in"
"J350V","https://www.cdw.com/shop/products/DELL-LAT-7480-I5-7300-256GB-8GB-W10P/4780614.aspx?pfm=srh","DELL LAT 7480 I5-7300 256GB 8GB W10P","Dell","4780614","Core i5 7300U / 2.6 GHzWin 10 Pro 64-bit8 GB RAM256 GB SSD14"" 1920 x 1080 (Full HD)HD Graphics 620Wi-Fi","$1,535.99","$826.99","https://webobjects2.cdw.com/is/image/CDW/4457458?$product-main$","J350V.jpg","8.7 in","0.7 in","3 lbs","13 in"
"T4M34UT#ABA","https://www.cdw.com/shop/products/HP-SB-14-G4-N2940-32GB-4GB-CHROME-B/4817732.aspx?pfm=srh","HP SB 14 G4 N2940 32GB 4GB CHROME (B","HP Inc","4817732","Celeron N2940 / 1.83 GHzChrome OS4 GB RAM32 GB eMMC14"" 1920 x 1080 (Full HD)HD GraphicsWi-Fi","$294.99","$218.99","https://webobjects2.cdw.com/is/image/CDW/3834861?$product-main$","T4M34UT#ABA.jpg","9.4 in","0.7 in","3.77 lbs","13.5 in"
"20H9000UUS","https://www.cdw.com/shop/products/LVO-TP-T570-I5-7300U-256GB-8GB-W10P/4856892.aspx?pfm=srh","LVO TP T570 I5-7300U 256GB 8GB W10P","Lenovo","4856892","Core i5 7300U / 2.6 GHzWin 10 Pro 64-bit8 GB RAM256 GB SSD TCG Opal Encryption 2NVMe15.6"" IPS touchscreen 1920 x 1080 (Full HD)HD Graphics 620","$1,525.99","$1,282.99","https://webobjects2.cdw.com/is/image/CDW/4504201?$product-main$","20H9000UUS.jpg","10 in","0.8 in","4.34 lbs","14.4 in"
"80YS0003US","https://www.cdw.com/shop/products/LVO-TP-N23-N3060-16GB-4GB-CHROME-BS/4831250.aspx?pfm=srh","LVO TP N23 N3060 16GB 4GB CHROME (BS","Lenovo","4831250","Celeron N3060 / 1.6 GHzChrome OS4 GB RAM16 GB eMMC11.6"" TN 1366 x 768 (HD)HD Graphics 400Wi-Fi","$224.99","$167.99","https://webobjects2.cdw.com/is/image/CDW/4439334?$product-main$","80YS0003US.jpg","8.2 in","0.9 in","2.76 lbs","11.5 in"
"1LB78UT#ABA","https://www.cdw.com/shop/products/HP-SB-840-G4-I7-7500U-256GB-8GB-W10P/4854722.aspx?pfm=srh","HP SB 840 G4 I7-7500U 256GB 8GB W10P","HP Inc","4854722","Core i7 7500U / 2.7 GHzWin 10 Pro 64-bit8 GB RAM256 GB SSD NVMeHP Turbo Drive G2TLC14"" TN 1920 x 1080 (Full HD)","$1,528.99","$1,285.99","https://webobjects2.cdw.com/is/image/CDW/4491408?$product-main$","1LB78UT#ABA.jpg","9.3 in","0.7 in","3.26 lbs","13.3 in"
"Z0UB-2102745029","https://www.cdw.com/shop/products/APPLE-MBP-TB-15.4-SG-3.1-512GB-RP560/4838768.aspx?pfm=srh","APPLE MBP TB 15.4 SG 3.1 512GB RP560","Apple","4838768","15-inch MacBook Pro with Touch BarSpace Gray3.1GHz Quad-core Intel Core i7,Turbo Boost up to 4.1GHzRadeon Pro 560 with 4GB GDDR5 memory + Intel HD Graphics 63016GB 2133MHz LPDDR3 SDRAM","$3,123.99","$2,779.99","https://webobjects2.cdw.com/is/image/CDW/4648175?$product-main$","Z0UB-2102745029.jpg","null","null","null","null"
"EUS-00001-EDU","https://www.cdw.com/shop/products/MS-SURFACE-LAPTOP-I5-8-128-EDU-BSTK/4851450.aspx?pfm=srh","MS SURFACE LAPTOP I5 8/128 EDU (BSTK","Microsoft","4851450","Core i5 7200U / 2.5 GHzWindows 10 S8 GB RAM128 GB SSD13.5"" touchscreen 2256 x 1504HD Graphics 620Wi-Fi","$971.99","$824.99","https://webobjects2.cdw.com/is/image/CDW/4726967?$product-main$","EUS-00001-EDU.jpg","8.8 in","0.6 in","2.76 lbs","12.1 in"
"17MAY6JNN","https://www.cdw.com/shop/products/BTO-HP-800-G2-I5-6500-256GB-8GB-W7P/4779527.aspx?pfm=srh","BTO HP 800 G2 I5-6500 256GB 8GB W7P","HP Inc","4779527","HP EliteOne 800 G2 23 Non-Touch AiO UMA-L3N90AVHP SD Media Card Reader IncludedIntel® I219LM Gigabit Network Connection2 MP Webcam with Dual Microphone ArrayHigh performance integrated stereo speakersWindows 7 Professional 64Intel Core i5-6500 3.2G 6M 2133 4C CPU","$1,069.99","$562.99","https://webobjects2.cdw.com/is/image/CDW/4484106?$product-main$","17MAY6JNN.jpg","null","null","null","null"
"3000015592562","https://www.cdw.com/shop/products/DELL-CTO-7480-I7-6600U-256-8-W7P-BS/4854571.aspx?pfm=srh","DELL CTO 7480 I7-6600U 256/8 W7P (BS","Dell","4854571","null","Call","$1,576.99","https://webobjects2.cdw.com/is/image/CDW/4718922?$product-main$","3000015592562.jpg","null","null","null","null"
"2DJ43US#ABA","https://www.cdw.com/shop/products/HPG-HP-840-G3-I5-6300U-256GB-8GB-W10/4774964.aspx?pfm=srh","HPG HP 840 G3 I5-6300U 256GB 8GB W10","HP Inc","4774964","EliteBook 840 G3Core i5-6300U256GB SED SSD8GB RAMW10 Pro 64 bit","Call","$1,137.99","https://webobjects2.cdw.com/is/image/CDW/3912968?$product-main$","2DJ43US#ABA.jpg","null","null","null","null"
"80YS0003US","https://www.cdw.com/shop/products/LVO-TP-N23-N3060-16GB-4GB-CHROME-BS/4831322.aspx?pfm=srh","LVO TP N23 N3060 16GB 4GB CHROME (BS","Lenovo","4831322","Celeron N3060 / 1.6 GHzChrome OS4 GB RAM16 GB eMMC11.6"" TN 1366 x 768 (HD)HD Graphics 400Wi-Fi","$224.99","$167.99","https://webobjects2.cdw.com/is/image/CDW/4439334?$product-main$","80YS0003US.jpg","8.2 in","0.9 in","2.76 lbs","11.5 in"
"W0R84UA#ABA","https://www.cdw.com/shop/products/HCA-HP-FOLIO-G1-M7-256GB-8GB-BSTK/4844473.aspx?pfm=srh","HCA HP FOLIO G1 M7 256GB 8GB (BSTK)","HP Inc","4844473","Core m7 6Y75 / 1.2 GHzWin 10 Pro 64-bit8 GB RAM256 GB SSD NVMe12.5"" touchscreen 3840 x 2160 (Ultra HD 4K)HD Graphics 515Wi-Fi","Call","$2,977.99","https://webobjects2.cdw.com/is/image/CDW/4041055?$product-main$","W0R84UA#ABA.jpg","8.2 in","0.5 in","2.4 lbs","11.5 in"
"MPXT2LL/A","https://www.cdw.com/shop/products/APPLE-MBP-13.3-SG-2.3GHZ-8GB-256GB/4851657.aspx?pfm=srh","APPLE MBP 13.3 SG 2.3GHZ 8GB 256GB (","Apple","4851657","Core i5 2.3 GHzOS X 10.13 Sierra8 GB RAM256 GB SSD13.3"" IPS 2560 x 1600 (WQXGA)Iris Plus Graphics 640Wi-Fi","$1,595.99","$1,419.99","https://webobjects2.cdw.com/is/image/CDW/4648179?$product-main$","MPXT2LL/A.jpg","8.4 in","0.6 in","3.02 lbs","12 in"
"10M70037US","https://www.cdw.com/shop/products/LVO-TC-M710S-I3-6100-1TB-8GB-W710P/4811787.aspx?pfm=srh","LVO TC M710S I3-6100 1TB 8GB W710P (","Lenovo","4811787","SFF1 x Core i3 6100 / 3.7 GHzRAM 8 GBHDD 1 TBDVD-WriterHD Graphics 530GigE","$669.99","$455.99","https://webobjects2.cdw.com/is/image/CDW/4608810?$product-main$","10M70037US.jpg","11.4 in","13.5 in","13.23 lbs","3.6 in"
"1BS46UT#ABA","https://www.cdw.com/shop/products/HP-SB-850-G4-I5-7200U-256GB-8GB-W10P/4854301.aspx?pfm=srh","HP SB 850 G4 I5-7200U 256GB 8GB W10P","HP Inc","4854301","Core i5 7200U / 2.5 GHzWin 10 Pro 64-bit8 GB RAM256 GB SSD HP Z Turbo Drive15.6"" TN 1366 x 768 (HD)HD Graphics 620Wi-Fi","$1,099.99","$934.99","https://webobjects2.cdw.com/is/image/CDW/4427291?$product-main$","1BS46UT#ABA.jpg","10.1 in","0.8 in","4.06 lbs","15.1 in"
"3000016536235","https://www.cdw.com/shop/products/DELL-CTO-3050-I7-7700-256-16-W10P-B/4841815.aspx?pfm=srh","DELL CTO 3050 I7-7700 256/16 W10P (B","Dell","4841815","null","Call","$857.99","https://webobjects2.cdw.com/is/image/CDW/4758914?$product-main$","3000016536235.jpg","null","null","null","null"
"T4M34UT#ABA","https://www.cdw.com/shop/products/HP-SB-14-G4-N2940-32GB-4GB-CHROME-B/4817708.aspx?pfm=srh","HP SB 14 G4 N2940 32GB 4GB CHROME (B","HP Inc","4817708","Celeron N2940 / 1.83 GHzChrome OS4 GB RAM32 GB eMMC14"" 1920 x 1080 (Full HD)HD GraphicsWi-Fi","$294.99","$218.99","https://webobjects2.cdw.com/is/image/CDW/3834861?$product-main$","T4M34UT#ABA.jpg","9.4 in","0.7 in","3.77 lbs","13.5 in"
"NY4PC","https://www.cdw.com/shop/products/DELL-LAT-E7270-I7-6600U-256GB-8GB-W7/4835512.aspx?pfm=srh","DELL LAT E7270 I7-6600U 256GB 8GB W7","Dell","4835512","UltrabookCore i7 6600U / 2.6 GHzWin 7 Pro 64-bit (includes Win 10 Pro 64-bit License)8 GB RAM256 GB SSD12.5"" 1366 x 768 (HD)","Call","$1,389.99","https://webobjects2.cdw.com/is/image/CDW/3987566?$product-main$","NY4PC.jpg","8.5 in","0.5 in","2.78 lbs","12.2 in"
"80YS0003US","https://www.cdw.com/shop/products/LVO-TP-N23-N3060-16GB-4GB-CHROME-BS/4854617.aspx?pfm=srh","LVO TP N23 N3060 16GB 4GB CHROME (BS","Lenovo","4854617","Celeron N3060 / 1.6 GHzChrome OS4 GB RAM16 GB eMMC11.6"" TN 1366 x 768 (HD)HD Graphics 400Wi-Fi","$224.99","$197.99","https://webobjects2.cdw.com/is/image/CDW/4439334?$product-main$","80YS0003US.jpg","8.2 in","0.9 in","2.76 lbs","11.5 in"
