"ED75E","https://www.cdw.com/shop/products/SAM-EDE-75IN-FHD-16-7-400NIT-BSTK/4803924.aspx?pfm=srh","SAM EDE 75IN FHD 16/7 400NIT (BSTK)","Samsung","4803924","75"" ClassED-E Series LED displaydigital signage1080p (Full HD) 1920 x 1080","$2,872.99","$1,527.99","https://webobjects2.cdw.com/is/image/CDW/3879356?$product-main$","ED75E.jpg","3.5 in","37.8 in","75.18 lbs","66 in"
"NTYS03BFE6","https://www.cdw.com/shop/products/NORTEL-IP-PHONE-1120E-GRAPHITE-W-TEX/4801970.aspx?pfm=srh","NORTEL-IP PHONE 1120E GRAPHITE W/TEX","Avaya","4801970","VoIP phoneSIPmultilinegraphite","$435.99","$188.99","https://webobjects2.cdw.com/is/image/CDW/2262473?$product-main$","NTYS03BFE6.jpg","null","null","2.4 lbs","null"
"V12H004W05","https://www.cdw.com/shop/products/EPSON-WIDE-LENS1-F-PRO-G-L1100U-BST/4836930.aspx?pfm=srh","EPSON WIDE LENS1 F/PRO G/L1100U (BST","Epson","4836930","Wide-throw zoom lens17.6 mm24.3 mmf/2.0-2.23for Epson EB-G7000G7200G7400","$1,899.00","$1,106.99","https://webobjects2.cdw.com/is/image/CDW/4118386?$product-main$","V12H004W05.jpg","null","null","3.2 lbs","null"
"C5G124-48","https://www.cdw.com/shop/products/ENTERASYS-C5-STACK-48X10-100-1000-4X/4833148.aspx?pfm=srh","ENTERASYS C5 STACK 48X10/100/1000+4X","Enterasys","4833148","SwitchL4managed48 x 10/100/1000 + 4 x shared SFPdesktop","$5,921.99","$3,718.99","https://webobjects2.cdw.com/is/image/CDW/2096172?$product-main$","C5G124-48.jpg","14.5 in","1.7 in","11.9 lbs","17.4 in"
"83198","https://www.cdw.com/shop/products/DIALOGIC-CG-6565E-16-2L-2TE-2RJ-48C/4808354.aspx?pfm=srh","DIALOGIC CG 6565E/16-2L/2TE 2RJ 48C","Dialogic Telephony","4808354","Voice interface cardPCIe 2.0T-1/E-1digital ports: 2GigE","$11,655.99","$6,275.99","https://webobjects2.cdw.com/is/image/CDW/2909013?$product-main$","83198.jpg","12.3 in","4.2 in","null","null"
"PJD5555W","https://www.cdw.com/shop/products/VIEWSONIC-PJD5555W-WXGA-DLP-3200LM/4842559.aspx?pfm=srh","VIEWSONIC PJD5555W WXGA DLP 3200LM (","ViewSonic","4842559","DLP projectorportable3D3200 ANSI lumensWXGA (1280 x 800)16:10HD 720p","Call","$381.99","https://webobjects2.cdw.com/is/image/CDW/3577745?$product-main$","PJD5555W.jpg","9 in","4.1 in","4.63 lbs","12.4 in"
"T320-BL16195","https://www.cdw.com/shop/products/APG-100-CASH-DRAWER-BLACK-BSTK/4849359.aspx?pfm=srh","APG 100 CASH DRAWER BLACK (BSTK)","APG","4849359","Series 100 (16""x19.5"")MultiPRO Interface for all 24V printers and terminalsBlackFixed 5x5 Till (Standard)","$168.99","$146.99","https://webobjects2.cdw.com/is/image/CDW/689206?$product-main$","T320-BL16195.jpg","19.5 in","4.9 in","null","16 in"
"0114T27902","https://www.cdw.com/shop/products/CANON-DR-M160II-W-KOFAX-VRS-ELITE-B/4845709.aspx?pfm=srh","CANON DR-M160II W/KOFAX VRS ELITE (B","Canon","4845709","Document scannerDuplex8.5 in x 118 in600 dpiup to 60 ppm (mono) / up to 60 ppm (color)ADF (60 sheets)USB 2.0","$931.99","$783.99","https://webobjects2.cdw.com/is/image/CDW/4086944?$product-main$","0114T27902.jpg","11 in","9.8 in","7.05 lbs","9.1 in"
"FJY-00001","https://www.cdw.com/shop/products/MS-SURFACE-PRO-I5-8GB-256GB-W10-BST/4851675.aspx?pfm=srh","MS SURFACE PRO I5 8GB 256GB W10 (BST","Microsoft","4851675","TabletCore i5 7300U / 2.6 GHzWin 10 Pro 64-bit8 GB RAM256 GB SSD12.3"" touchscreen 2736 x 1824HD Graphics 620","$1,299.00","$1,137.99","https://webobjects2.cdw.com/is/image/CDW/4634733?$product-main$","FJY-00001.jpg","7.9 in","0.3 in","27.16 oz","11.5 in"
"SM-T377AZKAATT","https://www.cdw.com/shop/products/SAM-GALAXY-TAB-E-8IN-16GB-ATT-BSTK/4851532.aspx?pfm=srh","SAM GALAXY TAB E 8IN 16GB ATT (BSTK)","Samsung","4851532","TabletAndroid 6.0 (Marshmallow)16 GB8"" TFT (1280 x 800)microSD slot4GAT&T","$213.99","$192.99","https://webobjects2.cdw.com/is/image/CDW/4230029?$product-main$","SM-T377AZKAATT.jpg","0.4 in","8.3 in","12.7 oz","5 in"
