"00D3821","https://www.cdw.com/shop/products/LVO-430W-REDUNDANT-POWER-SUPPLY-BST/4775945.aspx?pfm=srh","LVO 430W REDUNDANT POWER SUPPLY (BST","Lenovo","4775945","Power supplyredundantAC 120/240 V430 Wattfor System x3100 M4 (430 Watt)2582 (430 Watt); x3100 M5 5457 (430 Watt)","$205.00","$84.99","https://webobjects2.cdw.com/is/image/CDW/4124185?$product-main$","00D3821.jpg","null","null","null","null"
"NETWORK-MS","https://www.cdw.com/shop/products/EATON-MS-NETWORK-CARD-BSTK/4769848.aspx?pfm=srh","EATON MS NETWORK CARD (BSTK)","Eaton","4769848","Remote management adapter100Mb LANRS-232for Eaton PW9135G6000-XL3U; 5PX 1000150022003000","$244.99","$81.99","https://webobjects2.cdw.com/is/image/CDW/2552889?$product-main$","NETWORK-MS.jpg","null","null","null","null"
"ID6RGK-BB0","https://www.cdw.com/shop/products/ZAGG-RUGGED-BOOK-F-IPAD-AIR2-BSTK/4839217.aspx?pfm=srh","ZAGG RUGGED BOOK F/IPAD AIR2 (BSTK)","Zagg","4839217","Keyboard and folio caseBluetoothApple iPad Air 2","$149.99","$77.99","https://webobjects2.cdw.com/is/image/CDW/3551843?$product-main$","ID6RGK-BB0.jpg","null","null","null","null"
"5PX2200RTN","https://www.cdw.com/shop/products/EATON-KIT5PX2200RT-NETWORK-MS-120V/4824091.aspx?pfm=srh","EATON KIT=5PX2200RT+NETWORK-MS 120V","Eaton","4824091","UPSAC 100/120/127 V1.92 kW1950 VAEthernet 10/100RS-232USB","$1,585.99","$1,005.99","https://webobjects2.cdw.com/is/image/CDW/2630506?$product-main$","5PX2200RTN.jpg","20.6 in","3.4 in","66.14 lbs","17.4 in"
"0B47381","https://www.cdw.com/shop/products/LVO-8GB-DDR3L-1600MHZ-SODIMM-BSTK/4845833.aspx?pfm=srh","LVO 8GB DDR3L-1600MHZ SODIMM (BSTK)","Lenovo","4845833","DDR3L8 GBSO-DIMM 204-pin1600 MHz / PC3-128001.35 Vunbufferednon-ECC","$136.99","$114.99","https://webobjects2.cdw.com/is/image/CDW/3080343?$product-main$","0B47381.jpg","null","1.18","null","null"
"40A00090US","https://www.cdw.com/shop/products/LVO-TP-BASIC-DOCK-90W-BSTK/4779726.aspx?pfm=srh","LVO TP BASIC DOCK 90W (BSTK)","Lenovo","4779726","Port replicator90 Wattfor ThinkPad L460; L470; L560; L570; P50; P51; T460; T470; T560; T570; W550; X250; X260; X270","$179.99","$82.99","https://webobjects2.cdw.com/is/image/CDW/3142786?$product-main$","40A00090US.jpg","6.4 in","2.2 in","28.92 oz","13.6 in"
"627812-B21-AX","https://www.cdw.com/shop/products/AXIOM-16GB-DDR3-1333-LOW-VOLTAGE-ECC/4844882.aspx?pfm=srh","AXIOM 16GB DDR3-1333 LOW VOLTAGE ECC","Axiom","4844882","DDR316 GBDIMM 240-pin1333 MHz / PC3-10600registeredECC","$181.99","$145.99","https://webobjects2.cdw.com/is/image/CDW/3192795?$product-main$","627812-B21-AX.jpg","null","null","null","null"
"Z9H60AT","https://www.cdw.com/shop/products/HP-SB-8GB-DDR4-2400-DIMM-BSTK/4846202.aspx?pfm=srh","HP SB 8GB DDR4-2400 DIMM (BSTK)","HP Inc","4846202","DDR48 GBDIMM 288-pin2400 MHz / PC4-192001.2 Vunbufferednon-ECC","$107.99","$91.99","https://webobjects2.cdw.com/is/image/CDW/4462774?$product-main$","Z9H60AT.jpg","null","null","null","null"
"JG900A#ABA","https://www.cdw.com/shop/products/HP-A58X0AF-300W-AC-POWER-SUPPLY-BST/4744151.aspx?pfm=srh","HP A58X0AF 300W AC POWER SUPPLY (BST","Hewlett Packard Enterpris","4744151","Power supplyhot-plug / redundant ( plug-in module )AC 100-240 V300 WattUnited Statesfor HP A5830AF-48G Switch; HPE 5900AF-48G-4XG-2QSFP+ Switch","$335.99","$93.99","https://webobjects2.cdw.com/is/image/CDW/3451821?$product-main$","JG900A#ABA.jpg","11.8 in","1.6 in","null","2 in"
"726718-B21","https://www.cdw.com/shop/products/HP-8GB-1RX4-PC4-2133P-R-KIT-BSTK/4831338.aspx?pfm=srh","HP 8GB 1RX4 PC4-2133P-R KIT (BSTK)","Hewlett Packard Enterpris","4831338","DDR48 GBDIMM 288-pin2133 MHz / PC4-17000CL151.2 Vregistered","$297.99","$182.99","https://webobjects2.cdw.com/is/image/CDW/3465463?$product-main$","726718-B21.jpg","null","null","null","null"
"MM2L2AM/A","https://www.cdw.com/shop/products/APPLE-IPAD-PRO-9.7-SMART-KEYBOARD-B/4833545.aspx?pfm=srh","APPLE IPAD PRO 9.7 SMART KEYBOARD (B","Apple","4833545","Keyboard and folio caseApple Smart connectorfor 9.7-inch iPad Pro","$172.99","$109.99","https://webobjects2.cdw.com/is/image/CDW/4059953?$product-main$","MM2L2AM/A.jpg","null","null","null","null"
"PDUMNV20HV2","https://www.cdw.com/shop/products/TRIPP-PDU-MONITORED-200V-240V-20A-B/4762545.aspx?pfm=srh","TRIPP PDU MONITORED 200V-240V 20A (B","Tripp Lite","4762545","3.2-3.8kW single-phase monitored PDU 0U vertical with 20 outlets and 10ft cordPDU / Power Distribution Unit / PDU Strip / Monitored PDU / rack pdu / pdus / datacenter pdu / network pdu / Vertical PDUReports voltage frequency and load level via Ethernet interface","$347.99","$115.99","https://webobjects2.cdw.com/is/image/CDW/2820312e?$product-main$","PDUMNV20HV2.jpg","1.9 in","64 in","6.61 lbs","2.2 in"
"ED494AA#ABA","https://www.cdw.com/shop/products/HP-SMART-AC-ADAPTER-65W-BSTK/4761768.aspx?pfm=srh","HP SMART AC ADAPTER 65W (BSTK)","HP Inc","4761768","Power Adapter65 WattUnited States","$75.99","$25.99","https://webobjects2.cdw.com/is/image/CDW/960458?$product-main$","ED494AA#ABA.jpg","1.9 in","1.1 in","9.88 oz","4.2 in"
