"872479-B21","https://www.cdw.com/shop/products/HP-1.2TB-SAS-10K-SFF-SC-DS-HDD-BSTK/4771202.aspx?pfm=srh","HP 1.2TB SAS 10K SFF SC DS HDD (BSTK","Hewlett Packard Enterpris","4771202","Hard drive1.2 TBhot-swap2.5"" SFFSAS 12Gb/s10000 rpmwith HPE SmartDrive carrier","$707.99","$237.99","https://webobjects2.cdw.com/is/image/CDW/4503487?$product-main$","872479-B21.jpg","null","null","null","null"
"WD8001FFWX","https://www.cdw.com/shop/products/WD-RED-PRO-8TB-7.2K-SATA-6G-3.5-128M/4849287.aspx?pfm=srh","WD RED PRO 8TB 7.2K SATA 6G 3.5 128M","Western Digital","4849287","Hard drive8 TBinternal3.5""SATA 6Gb/s7200 rpmbuffer: 128 MB","$361.99","$299.99","https://webobjects2.cdw.com/is/image/CDW/4175787?$product-main$","WD8001FFWX.jpg","5.8 in","1 in","22.93 oz","4 in"
"M6V51AT","https://www.cdw.com/shop/products/HP-SB-NVIDIA-NVS-310-1GB-GRAPHICS-B/4771287.aspx?pfm=srh","HP SB NVIDIA NVS 310 1GB GRAPHICS (B","HP Inc","4771287","Graphics cardQuadro NVS 3101 GB DDR3PCIe 2.0 x16 low profile2 x DisplayPortfor EliteDesk 705 G3800 G2; ProDesk 400 G3","$112.99","$41.99","https://webobjects2.cdw.com/is/image/CDW/3871149?$product-main$","M6V51AT.jpg","6.1 in","2.7 in","5.01 oz","null"
"MS9520-40-3","https://www.cdw.com/shop/products/HNY-METROLOG-9520-VOYAGER-SCAN-ONLY/4825408.aspx?pfm=srh","HNY METROLOG 9520 VOYAGER SCAN ONLY","Honeywell","4825408","Barcode scannerportable72 scan / secdecodedUSB 2.0","$163.00","$74.99","https://webobjects2.cdw.com/is/image/CDW/2221938?$product-main$","MS9520-40-3.jpg","7.8 in","2.2 in","5.26 oz","5 mil"
"801884-B21","https://www.cdw.com/shop/products/HP-2TB-6G-SATA-3.5IN-NHP-MDL-HDD-BS/4835214.aspx?pfm=srh","HP 2TB 6G SATA 3.5IN NHP MDL HDD (BS","Hewlett Packard Enterpris","4835214","Hard drive2 TBinternal3.5"" LFFSATA 6Gb/s7200 rpm","$239.99","$195.99","https://webobjects2.cdw.com/is/image/CDW/3697060?$product-main$","801884-B21.jpg","5.8 in","1 in","3 lbs","4 in"
"LMP-C281","https://www.cdw.com/shop/products/SONY-REPLACEMENT-LAMP-F-VPL-CH375-B/4777854.aspx?pfm=srh","SONY REPLACEMENT LAMP F/VPL-CH375 (B","Sony","4777854","Projector lampultra high-pressure mercury280 Wattfor VPL-CH375","$213.99","$82.99","https://webobjects2.cdw.com/is/image/CDW/3704060?$product-main$","LMP-C281.jpg","null","null","null","null"
"UM.CV6AA.B02","https://www.cdw.com/shop/products/ACER-V196L-BB-EPEAT-GOLD-19IN-MON-B/4808791.aspx?pfm=srh","ACER V196L BB EPEAT GOLD 19IN MON (B","Acer","4808791","LED monitor19""1280 x 1024TN250 cd/m²5 msDVI","$109.99","$63.99","https://webobjects2.cdw.com/is/image/CDW/4266971?$product-main$","UM.CV6AA.B02.jpg","8.1 in","16.1 in","6.8 lbs","16 in"
"GLC-LH-SMD=","https://www.cdw.com/shop/products/CISCO-1000BASE-LX-LH-SFP-XCVR-MOD-B/4812307.aspx?pfm=srh","CISCO 1000BASE-LX/LH SFP XCVR-MOD (B","Cisco","4812307","SFP (mini-GBIC) transceiver moduleGigE1000Base-LX1000Base-LHLC/PC single-modeup to 6.2 miles1310 nm","$713.99","$462.99","https://webobjects2.cdw.com/is/image/CDW/2558100?$product-main$","GLC-LH-SMD=.jpg","2.2 in","0.3 in","2.65 oz","0.5 in"
"20FQ005EUS-DUP","https://www.cdw.com/shop/products/LVO-TP-X1-YOGA-1ST-GEN-512G-16GB-DUP/4838777.aspx?pfm=srh","LVO TP X1 YOGA 1ST GEN 512G 16GB-DUP","Lenovo","4838777","UltrabookCore i7 6600U / 2.6 GHzWin 10 Pro 64-bit16 GB RAM512 GB SSD NVMe14"" IPS touchscreen 2560 x 1440 (WQHD)HD Graphics 520","$2,529.99","$2,223.99","https://webobjects2.cdw.com/is/image/CDW/4474877?$product-main$","20FQ005EUS-DUP.jpg","9 in","0.7 in","3 lbs","13.1 in"
"61A5GAR3US","https://www.cdw.com/shop/products/LVO-THINKVISION-P24Q-10-23.8IN-MON/4832490.aspx?pfm=srh","LVO THINKVISION P24Q-10 23.8IN MON (","Lenovo","4832490","LED monitor23.8"" (23.8"" viewable)2560 x 1440IPS300 cd/m²1000:14 ms","$253.99","$177.99","https://webobjects2.cdw.com/is/image/CDW/4468844?$product-main$","61A5GAR3US.jpg","1.7 in","12.8 in","8.2 lbs","21.3 in"
"E515DW","https://www.cdw.com/shop/products/DELL-E515DW-MONO-LSR-PRINTER-BSTK/4823304.aspx?pfm=srh","DELL E515DW MONO LSR PRINTER (BSTK)","Dell","4823304","Multifunction printerB/Wlaser8.27 in x 13.78 in (original)A4/Legal (media)up to 20 ppm (copying)up to 27 ppm (printing)","$157.99","$109.99","https://webobjects2.cdw.com/is/image/CDW/4287206?$product-main$","E515DW.jpg","8-bit","12.5 in","105 g/m²","16.1 in"
"ET-LAEF100","https://www.cdw.com/shop/products/PANASONIC-ET-LAEF100-REPL-LAMP-BSTK/4849204.aspx?pfm=srh","PANASONIC ET-LAEF100 REPL LAMP (BSTK","Panasonic","4849204","Projector lampUHM320 Wattfor PT-EW550EW650EX520EX620","$433.99","$325.99","https://webobjects2.cdw.com/is/image/CDW/4191742?$product-main$","ET-LAEF100.jpg","3.7 in","3.7 in","9.88 oz","4.8 in"
"507127-S21","https://www.cdw.com/shop/products/HP-SOURCING-SB-300GB-6G-10K-2.5IN-B/4771072.aspx?pfm=srh","HP SOURCING SB 300GB 6G 10K 2.5IN (B","Hewlett Packard Enterpris","4771072","Hard drive300 GBhot-swap2.5"" SFFSAS 6Gb/s10000 rpmSmart Buy","$177.99","$63.99","https://webobjects2.cdw.com/is/image/CDW/3874979?$product-main$","507127-S21.jpg","5.4 in","0.6 in","null","3.1 in"
