"510.241.01","https://www.cdw.com/shop/products/MOTION-R12-DT-CHARGER-KIT-W-US-PWR/4842350.aspx?pfm=srh","MOTION R12 DT CHARGER KIT W/ US PWR","Motion Computing","4842350","Battery chargerUnited Statesfor P/N: 510.201.01","$212.99","$169.99","https://webobjects2.cdw.com/is/image/CDW/3492892?$product-main$","510.241.01.jpg","null","null","null","null"
"Y3X96AT","https://www.cdw.com/shop/products/HP-SB-16GB-DDR4-2133-DIMM-BSTK/4846273.aspx?pfm=srh","HP SB 16GB DDR4-2133 DIMM (BSTK)","HP Inc","4846273","DDR416 GBDIMM 288-pin2133 MHz / PC4-17000CL151.2 Vunbuffered","Call","$161.99","https://webobjects2.cdw.com/is/image/CDW/4283827?$product-main$","Y3X96AT.jpg","null","null","null","null"
"A-TSL1-1","https://www.cdw.com/shop/products/TOPAZ-TILT-SWIVEL-STAND-FOR-LCD-BST/4823477.aspx?pfm=srh","TOPAZ TILT SWIVEL STAND FOR LCD (BST","Topaz Systems","4823477","Signature terminal standfor SigLite LCD 1X5; SignatureGem T-LBK755; SignatureGem LCD 4x3; SignatureGem LCD1x5","$152.99","$108.99","https://webobjects2.cdw.com/is/image/CDW/1558813?$product-main$","A-TSL1-1.jpg","5 in","2.9 in","null","6 in"
"0A36311","https://www.cdw.com/shop/products/LVO-THINKPAD-6-CELL-BATTERY-BSTK/4760692.aspx?pfm=srh","LVO THINKPAD 6 CELL BATTERY (BSTK)","Lenovo","4760692","Notebook battery1 x lithium ion 6-cell 62 Whfor B590; ThinkPad E440; E540; ThinkPad Edge E430; E430c; E431; E530; E530c; E531; E535; E545","$102.99","$34.99","https://webobjects2.cdw.com/is/image/CDW/2709584?$product-main$","0A36311.jpg","null","null","11.64 oz","null"
"79823","https://www.cdw.com/shop/products/ZEBRA-ZM4-ZM6-10-100-ENET-CARD-BSTK/4771328.aspx?pfm=srh","ZEBRA ZM4 ZM6 10/100 ENET CARD (BSTK","Zebra","4771328","Compatible with ZM4 and ZM6 Printers","$308.99","$99.99","https://webobjects2.cdw.com/is/image/CDW/1425859?$product-main$","79823.jpg","null","null","null","null"
"IDSK-534833AEB","https://www.cdw.com/shop/products/IDTECH-SREDKEY-CUSTOM-SETTING-BSTK/4740230.aspx?pfm=srh","IDTECH SREDKEY CUSTOM SETTING (BSTK)","ID Technologies","4740230","KeypadUSBgrayblack","$168.99","$45.99","https://webobjects2.cdw.com/is/image/CDW/3594947?$product-main$","IDSK-534833AEB.jpg","6.3 in","1.5 in","null","3.8 in"
"4X70M60574","https://www.cdw.com/shop/products/LVO-8GB-DDR4-2400-SODIMM-MEM-BSTK/4846255.aspx?pfm=srh","LVO 8GB DDR4-2400 SODIMM MEM (BSTK)","Lenovo","4846255","DDR48 GBSO-DIMM 260-pin2400 MHz / PC4-192001.2 Vunbufferednon-ECC","$106.99","$81.99","https://webobjects2.cdw.com/is/image/CDW/4393785?$product-main$","4X70M60574.jpg","null","1.19","null","null"
"KOV-VM4RB","https://www.cdw.com/shop/products/EVOLUENT-ERGONOMIC-MOUSE-BT-BSTK/4764768.aspx?pfm=srh","EVOLUENT ERGONOMIC MOUSE BT (BSTK)","KeyOvation","4764768","Mouseoptical6 buttonswirelessBluetoothwhite","$129.99","$43.99","https://webobjects2.cdw.com/is/image/CDW/3625123?$product-main$","KOV-VM4RB.jpg","4.4 in","3 in","5.89 oz","3.1 in"
"805351-B21","https://www.cdw.com/shop/products/HP-32GB-2RX4-PC4-2400T-R-KIT-BSTK/4849178.aspx?pfm=srh","HP 32GB 2RX4 PC4-2400T-R KIT (BSTK)","Hewlett Packard Enterpris","4849178","DDR432 GBDIMM 288-pin2400 MHz / PC4-19200CL171.2 Vregistered","$718.99","$539.99","https://webobjects2.cdw.com/is/image/CDW/4086834?$product-main$","805351-B21.jpg","null","null","null","null"
"VCH5500-111R","https://www.cdw.com/shop/products/MOTO-VEHICLE-HLDR-KIT-F-MC55-MC65-B/4817685.aspx?pfm=srh","MOTO VEHICLE HLDR KIT F/MC55/MC65 (B","Zebra","4817685","Vehicle mounting kitfor Motorola MC55MC55N0MC67; Zebra MC55A0MC67MC67 Premium","$142.99","$91.99","https://webobjects2.cdw.com/is/image/CDW/2286739?$product-main$","VCH5500-111R.jpg","null","null","null","null"
