"997-2808-01LF","https://www.cdw.com/shop/products/PLANAR-LA1710R-OPEN-17in-DVI-BSTK/4806072.aspx?pfm=srh","PLANAR LA1710R-OPEN 17"" DVI (BSTK)","Planar","4806072","17 in LCD Monitor17 in LCD Monitor1000:1 contrast ratio1280 x 1024 max resolution5 ms response timeVGA (HD-15) interfaceDVI interface","$365.99","$205.99","https://webobjects2.cdw.com/is/image/CDW/2127216?$product-main$","997-2808-01LF.jpg","2 in","12.4 in","10.14 lbs","16.5 in"
"867446-S01","https://www.cdw.com/shop/products/HP-DL360-GEN9-E5-2640V4-SFF-SRV-BST/4842007.aspx?pfm=srh","HP DL360 GEN9 E5-2640V4 SFF SRV (BST","Hewlett Packard Enterpris","4842007","Serverrack-mountable1U2-way1 x Xeon E5-2640V4 / 2.4 GHzRAM 16 GBSAS","$2,419.99","$2,055.99","https://webobjects2.cdw.com/is/image/CDW/4205133?$product-main$","867446-S01.jpg","27.5 in","1.7 in","27.01 lbs","17.1 in"
"ZT41043-T310000Z","https://www.cdw.com/shop/products/ZEBRA-ZT410-TT-DT-300DPI-4IN-EZPL-B/4833109.aspx?pfm=srh","ZEBRA ZT410 TT/DT 300DPI 4IN EZPL (B","Zebra","4833109","Label printerthermal transferRoll (4.25 in)300 dpiup to 840.9 inch/minUSB 2.0LAN","$1,797.84","$1,197.99","https://webobjects2.cdw.com/is/image/CDW/3532037?$product-main$","ZT41043-T310000Z.jpg","19.5 in","12.8 in","36 lbs","4.09 in"
"VA2252SM","https://www.cdw.com/shop/products/VIEWSONIC-VA2252SM-1920-X-1080-BSTK/4828658.aspx?pfm=srh","VIEWSONIC VA2252SM 1920 X 1080 (BSTK","ViewSonic","4828658","LED monitor22"" (21.5"" viewable)1920 x 1080 Full HD (1080p)MVA250 cd/m²3000:16.5 ms","$126.99","$89.99","https://webobjects2.cdw.com/is/image/CDW/3760332?$product-main$","VA2252SM.jpg","1.9 in","12.2 in","6.8 lbs","20.4 in"
"GCS1904","https://www.cdw.com/shop/products/IOGEAR-2PT-DISPLAYPORT-KVMP-BSTK/4847535.aspx?pfm=srh","IOGEAR 2PT DISPLAYPORT KVMP (BSTK)","IOGEAR","4847535","KVM / audio / USB switch4 x DisplayPort / audio / USB1 local userdesktop","$289.99","$248.99","https://webobjects2.cdw.com/is/image/CDW/4623171?$product-main$","GCS1904.jpg","null","null","null","null"
"TW-HE-06042-6R","https://www.cdw.com/shop/products/TERRAWAVE-6DBI-RIGHT-ANGLED-ANT-BST/4847673.aspx?pfm=srh","TERRAWAVE 6DBI RIGHT ANGLED ANT (BST","Ventev","4847673","AntennaWi-Fi6 dBioutdoorindoorpipe mountablegray","$609.99","$524.99","https://webobjects2.cdw.com/is/image/CDW/4307911?$product-main$","TW-HE-06042-6R.jpg","3 in","6.9 in","15.87 oz","8.7 in"
"PC43TB00000201","https://www.cdw.com/shop/products/HNY-INTRMC-PC43T-TT-PRINT-4IN-203DPI/4842537.aspx?pfm=srh","HNY INTRMC PC43T TT PRINT 4IN 203DPI","Honeywell","4842537","Label printerthermal transferRoll (4.65 in)203 dpiup to 480 inch/minUSB 2.0USB 2.0 host","$560.00","$324.99","https://webobjects2.cdw.com/is/image/CDW/4525861?$product-main$","PC43TB00000201.jpg","11.1 in","7.2 in","5.95 lbs","8.3 in"
"20HUS00000","https://www.cdw.com/shop/products/LVO-STF-11E-YOGA-N3450-128GB-4GB-W10/4831546.aspx?pfm=srh","LVO STF 11E YOGA N3450 128GB 4GB W10","Lenovo","4831546","Flip designCeleron N3450 / 1.1 GHzWin 10 Pro 64-bit4 GB RAM128 GB SSD11.6"" IPS touchscreen 1366 x 768 (HD)HD Graphics 500","$643.99","$481.99","https://webobjects2.cdw.com/is/image/CDW/4512845?$product-main$","20HUS00000.jpg","8.3 in","0.9 in","3.51 lbs","11.8 in"
"6510/DN","https://www.cdw.com/shop/products/XEROX-PHASER-6510-COLOR-PRINT-30PPM/4813607.aspx?pfm=srh","XEROX PHASER 6510 COLOR PRINT 30PPM","Xerox","4813607","PrintercolorDuplexlaserA4/Legal1200 x 2400 dpiup to 30 ppm (mono) / up to 30 ppm (color)","$239.00","$162.99","https://webobjects2.cdw.com/is/image/CDW/4363983?$product-main$","6510/DN.jpg","19 in","13.7 in","52.47 lbs","16.5 in"
"2200-16155-001","https://www.cdw.com/shop/products/POLYCOM-EX-MICS-FOR-SOUNDSTATION2-B/4796151.aspx?pfm=srh","POLYCOM EX-MICS FOR SOUNDSTATION2 (B","Polycom","4796151","Microphone (pack of 2 )","$232.99","$102.99","https://webobjects2.cdw.com/is/image/CDW/726773?$product-main$","2200-16155-001.jpg","null","null","null","null"
