"VP554-BL1416","https://www.cdw.com/shop/products/APG-VASARIO-CASH-DRAWER-BLK-USB-BST/4767173.aspx?pfm=srh","APG VASARIO CASH DRAWER BLK USB (BST","APG","4767173","13.8"" x 16.3""Painted frontBlackUSB4 bill slots5 coin slots","$219.99","$79.99","https://webobjects2.cdw.com/is/image/CDW/1288488?$product-main$","VP554-BL1416.jpg","16.3 in","4 in","null","13.8 in"
"MMF-VAL1313E-04","https://www.cdw.com/shop/products/MMF-CASH-DRAWER-VAL-U-LINE-13X13X4/4823458.aspx?pfm=srh","MMF CASH DRAWER VAL-U LINE 13X13X4 (","MMF","4823458","Electronic cash drawermatte black","$86.99","$61.99","https://webobjects2.cdw.com/is/image/CDW/3688996?$product-main$","MMF-VAL1313E-04.jpg","13 in","3.5 in","11.31 lbs","13 in"
"FZ576AA","https://www.cdw.com/shop/products/HP-DX115-REMOVABLE-HDD-FRAME-CARRIER/4802323.aspx?pfm=srh","HP DX115 REMOVABLE HDD FRAME/CARRIER","HP Inc","4802323","null","$242.99","$129.99","https://webobjects2.cdw.com/is/image/CDW/1634887?$product-main$","FZ576AA.jpg","null","null","null","null"
"22MB35Y-I","https://www.cdw.com/shop/products/LG-22in-22MB35Y-1-IPS-MONITOR-TAA-BS/4849268.aspx?pfm=srh","LG 22"" 22MB35Y-1 IPS MONITOR TAA (BS","LG","4849268","LED monitor21.5""1920 x 1080 Full HD (1080p)IPS250 cd/m²1000:15 ms","$141.99","$124.99","https://webobjects2.cdw.com/is/image/CDW/3682740?$product-main$","22MB35Y-I.jpg","2.4 in","12 in","6.2 lbs","20 in"
"10LKPAR6US","https://www.cdw.com/shop/products/LVO-TC-22IN-TINY-IN-ONE-MONITOR-BST/4849108.aspx?pfm=srh","LVO TC 22IN TINY-IN-ONE MONITOR (BST","Lenovo","4849108","LED monitor21.5"" (21.5"" viewable)1920 x 1080 Full HD (1080p)IPS250 cd/m²1000:17 ms","$194.00","$169.99","https://webobjects2.cdw.com/is/image/CDW/4153216?$product-main$","10LKPAR6US.jpg","2.6 in","12.5 in","7 lbs","19.3 in"
"053220","https://www.cdw.com/shop/products/HID-MONO-SNGL-SIDE-CARD-PRINTER-BST/4833121.aspx?pfm=srh","HID MONO SNGL SIDE CARD PRINTER (BST","Hid Corporation","4833121","Plastic card printermonochromedye sublimation/thermal resinCR-80 Card (3.37 in x 2.13 in)300 dpiup to 600 cards/hourcapacity: 100 cards","$1,045.99","$689.99","https://webobjects2.cdw.com/is/image/CDW/3264352?$product-main$","053220.jpg","7.9 in","8.8 in","7.5 lbs","2.11 in"
"997-2808-01LF","https://www.cdw.com/shop/products/PLANAR-LA1710R-OPEN-17in-DVI-BSTK/4806075.aspx?pfm=srh","PLANAR LA1710R-OPEN 17"" DVI (BSTK)","Planar","4806075","17 in LCD Monitor17 in LCD Monitor1000:1 contrast ratio1280 x 1024 max resolution5 ms response timeVGA (HD-15) interfaceDVI interface","$365.99","$205.99","https://webobjects2.cdw.com/is/image/CDW/2127216?$product-main$","997-2808-01LF.jpg","2 in","12.4 in","10.14 lbs","16.5 in"
"ZT41042-T210000Z","https://www.cdw.com/shop/products/ZEBRA-ZT410-203DPI-THERMAL-TRANSFER/4833117.aspx?pfm=srh","ZEBRA ZT410 203DPI THERMAL TRANSFER","Zebra","4833117","Label printerthermal transferRoll (4.5 in)203 dpiup to 840.9 inch/minUSB 2.0LAN","$1,744.56","$1,162.99","https://webobjects2.cdw.com/is/image/CDW/3385732?$product-main$","ZT41042-T210000Z.jpg","19.5 in","12.8 in","36 lbs","4.09 in"
"726536-B21","https://www.cdw.com/shop/products/HP-9.5MM-SATA-DVD-ROM-JB-GEN9-KIT-B/4849168.aspx?pfm=srh","HP 9.5MM SATA DVD-ROM JB GEN9 KIT (B","Hewlett Packard Enterpris","4849168","Disk driveDVD-ROMSerial ATAinternalHP jack blackfor ProLiant DL360 Gen10DL380 Gen10","$79.99","$67.99","https://webobjects2.cdw.com/is/image/CDW/3465438?$product-main$","726536-B21.jpg","5.1 in","0.4 in","23.28 oz","5.2 in"
"VA2252SM","https://www.cdw.com/shop/products/VIEWSONIC-VA2252SM-1920-X-1080-BSTK/4828660.aspx?pfm=srh","VIEWSONIC VA2252SM 1920 X 1080 (BSTK","ViewSonic","4828660","LED monitor22"" (21.5"" viewable)1920 x 1080 Full HD (1080p)MVA250 cd/m²3000:16.5 ms","$126.99","$89.99","https://webobjects2.cdw.com/is/image/CDW/3760332?$product-main$","VA2252SM.jpg","1.9 in","12.2 in","6.8 lbs","20.4 in"
"23MB35PM-B","https://www.cdw.com/shop/products/LG-23MB35PM-B-23in-WIDE-LED-BSTK/4815728.aspx?pfm=srh","LG 23MB35PM-B 23"" WIDE LED (BSTK)","LG","4815728","LED monitor23""1920 x 1080IPS250 cd/m21000:15000000:1 (dynamic)","$149.99","$106.99","https://webobjects2.cdw.com/is/image/CDW/3266938?$product-main$","23MB35PM-B.jpg","2.4 in","13.2 in","9.3 lbs","21.6 in"
"ML0G2LL/A","https://www.cdw.com/shop/products/APPLE-IPAD-PRO-12.9-WI-FI-32GB-SLVR/4844126.aspx?pfm=srh","APPLE IPAD PRO 12.9 WI-FI 32GB SLVR","Apple","4844126","Tablet32 GB12.9"" IPS (2732 x 2048)silver","$729.99","$657.99","https://webobjects2.cdw.com/is/image/CDW/3870047?$product-main$","ML0G2LL/A.jpg","0.3 in","12 in","25.15 oz","8.7 in"
"80XF0025US","https://www.cdw.com/shop/products/LVO-MIIX-320-Z8350-64GB-2GB-W10P-BS/4827554.aspx?pfm=srh","LVO MIIX 320 Z8350 64GB 2GB W10P (BS","Lenovo","4827554","Tabletwith keyboard dockAtom x5 Z8350 / 1.44 GHzWin 10 Pro 64-bit2 GB RAM64 GB eMMC10.1"" touchscreen 1920 x 1200","$294.99","$215.99","https://webobjects2.cdw.com/is/image/CDW/4606842?$product-main$","80XF0025US.jpg","7.2 in","0.3 in","2.3 lbs","9.8 in"
"GCS1104","https://www.cdw.com/shop/products/IOGEAR-4PT-DVI-KVM-SWCH-W-AUDIO-BST/4856072.aspx?pfm=srh","IOGEAR 4PT DVI KVM SWCH W/AUDIO (BST","IOGEAR","4856072","4-Port DVI KVMP Switch with Audio and DVI-D Cables","$159.99","$136.99","https://webobjects2.cdw.com/is/image/CDW/1919921?$product-main$","GCS1104.jpg","3.1 in","1.9 in","2.09 lbs","10.6 in"
"24MC37D-B","https://www.cdw.com/shop/products/LG-24in-24MC37D-B-LED-DISPLAY-BSTK/4835753.aspx?pfm=srh","LG 24"" 24MC37D-B LED DISPLAY (BSTK)","LG","4835753","LED monitor24"" (23.5"" viewable)1920 x 1080 Full HD (1080p)TN200 cd/m²1000:15 ms","$114.99","$101.99","https://webobjects2.cdw.com/is/image/CDW/3629868?$product-main$","24MC37D-B.jpg","2.2 in","13.4 in","6 lbs","21.9 in"
"TW-HE-06042-6R","https://www.cdw.com/shop/products/TERRAWAVE-6DBI-RIGHT-ANGLED-ANT-BST/4847675.aspx?pfm=srh","TERRAWAVE 6DBI RIGHT ANGLED ANT (BST","Ventev","4847675","AntennaWi-Fi6 dBioutdoorindoorpipe mountablegray","$609.99","$524.99","https://webobjects2.cdw.com/is/image/CDW/4307911?$product-main$","TW-HE-06042-6R.jpg","3 in","6.9 in","15.87 oz","8.7 in"
"PC43TB00000201","https://www.cdw.com/shop/products/HNY-INTRMC-PC43T-TT-PRINT-4IN-203DPI/4842793.aspx?pfm=srh","HNY INTRMC PC43T TT PRINT 4IN 203DPI","Honeywell","4842793","Label printerthermal transferRoll (4.65 in)203 dpiup to 480 inch/minUSB 2.0USB 2.0 host","$560.00","$324.99","https://webobjects2.cdw.com/is/image/CDW/4525861?$product-main$","PC43TB00000201.jpg","11.1 in","7.2 in","5.95 lbs","8.3 in"
