"827W224SENW","https://www.cdw.com/shop/products/MACLOCKS-IPAD2-3-4-SECURITY-ARM-WHTE/4847599.aspx?pfm=srh","MACLOCKS IPAD2/3/4 SECURITY ARM-WHTE","Maclocks","4847599","Wall mount for tabletaluminumfor Apple iPad (3rd generation); iPad 2; iPad Air; iPad Air 2; iPad with Retina display","$163.99","$129.99","https://webobjects2.cdw.com/is/image/CDW/3379882?$product-main$","827W224SENW.jpg","null","null","null","null"
"PMLN5193","https://www.cdw.com/shop/products/MOTOROLA-RAPID-RATE-CHARGER-BSTK/4747156.aspx?pfm=srh","MOTOROLA RAPID-RATE CHARGER (BSTK)","Motorola","4747156","null","$72.99","$22.99","https://webobjects2.cdw.com/is/image/CDW/3820543?$product-main$","PMLN5193.jpg","null","null","null","null"
"Z9H60AT","https://www.cdw.com/shop/products/HP-SB-8GB-DDR4-2400-DIMM-BSTK/4788610.aspx?pfm=srh","HP SB 8GB DDR4-2400 DIMM (BSTK)","HP Inc","4788610","DDR48 GBDIMM 288-pin2400 MHz / PC4-192001.2 Vunbufferednon-ECC","$107.99","$47.99","https://webobjects2.cdw.com/is/image/CDW/4462774?$product-main$","Z9H60AT.jpg","null","null","null","null"
"APCRBC132","https://www.cdw.com/shop/products/APC-REPL-BATT-CART-F-SMT-100RM2U-BS/4824682.aspx?pfm=srh","APC REPL BATT CART F/SMT-100RM2U (BS","APC","4824682","UPS battery1 x lead acidblackfor P/N: SMC1500-2USMC1500I-2USMT1000RM2USMT1000RMI2U","$238.99","$155.99","https://webobjects2.cdw.com/is/image/CDW/2716606?$product-main$","APCRBC132.jpg","13.5 in","3.3 in","22.05 lbs","8.5 in"
"ID8RPK-BB0","https://www.cdw.com/shop/products/ZAGG-RUGGED-BOOK-F-IPAD-PRO-9.7-BST/4802159.aspx?pfm=srh","ZAGG RUGGED BOOK F/IPAD PRO 9.7 (BST","Zagg","4802159","Keyboard and folio caseBluetoothblackfor Apple 9.7-inch iPad Pro","$149.99","$57.99","https://webobjects2.cdw.com/is/image/CDW/4337879?$product-main$","ID8RPK-BB0.jpg","null","null","null","null"
"PA-RC-001","https://www.cdw.com/shop/products/BROTHER-PJ-ROLL-CASE-W-DECURLER-BST/4816204.aspx?pfm=srh","BROTHER PJ ROLL CASE W/DECURLER (BST","Brother","4816204","Printer carrying casefor PocketJet PJ-722PJ-723PJ-762PJ-763PJ-763MFiPJ-773","$92.99","$59.99","https://webobjects2.cdw.com/is/image/CDW/3878478?$product-main$","PA-RC-001.jpg","null","null","null","null"
"H6Y82UT#ABA","https://www.cdw.com/shop/products/HP-SB-65W-SLIM-AC-ADPT-G2-BSTK/4780795.aspx?pfm=srh","HP SB 65W SLIM AC ADPT G2 (BSTK)","HP Inc","4780795","Power adapter65 WattUnited StatesSmart Buyfor Chromebook 14; Chromebook x360; EliteBook 820 G4; ProBook 64X G365X G3; ZBook 15u G4","$76.99","$29.99","https://webobjects2.cdw.com/is/image/CDW/3207153?$product-main$","H6Y82UT#ABA.jpg","null","null","null","null"
"4X70M60574-AX","https://www.cdw.com/shop/products/AXIOM-8GB-DDR4-2400-SODIMM-MEM-BSTK/4838329.aspx?pfm=srh","AXIOM 8GB DDR4-2400 SODIMM MEM (BSTK","Axiom","4838329","DDR48 GBSO-DIMM 260-pin2400 MHz / PC4-192001.2 Vunbufferednon-ECC","$113.99","$81.99","https://webobjects2.cdw.com/is/image/CDW/4646971?$product-main$","4X70M60574-AX.jpg","null","1.19","null","null"
"805349-B21","https://www.cdw.com/shop/products/HP-16GB-1RX4-PC4-2400T-R-KIT-BSTK/4844847.aspx?pfm=srh","HP 16GB 1RX4 PC4-2400T-R KIT (BSTK)","Hewlett Packard Enterpris","4844847","DDR416 GBDIMM 288-pin2400 MHz / PC4-19200CL171.2 Vregistered","$336.99","$268.99","https://webobjects2.cdw.com/is/image/CDW/4077241?$product-main$","805349-B21.jpg","null","null","null","null"
"DT-LM510-BLK_BLK","https://www.cdw.com/shop/products/GUMDROP-CASE-F-MIIX-510-BSTK/4838801.aspx?pfm=srh","GUMDROP CASE F/MIIX 510 (BSTK)","Gumdrop Cases","4838801","Tablet PC protective caseblack","Call","$61.99","https://webobjects2.cdw.com/is/image/CDW/4418848?$product-main$","DT-LM510-BLK_BLK.jpg","null","null","null","null"
